YearWeek,Station,DelayCategory,Minutes_NORM_to_DepDelayMin,Flights_Affected,Share_of_DepDelayMin,DepDelayTotal_PosOnly_Min,DelayBasis
2025-W11,NXA,OCC,94.5,6,0.08238811423410897,1147.4,PosOnly
2025-W11,NXA,ATC,102.2,6,0.08906214706350916,1147.4,PosOnly
2025-W11,NXA,Weather,59.5,3,0.051823773315342936,1147.4,PosOnly
2025-W11,NXA,Other,65.7,4,0.057284985835082576,1147.4,PosOnly
2025-W12,NXA,Late Arrival,101.5,6,0.48557171490690126,209.0,PosOnly
2025-W12,NXA,Ground Ops,46.5,3,0.22235464600496763,209.0,PosOnly
2025-W12,NXA,Engineering,13.2,1,0.06298202713049149,209.0,PosOnly
2025-W12,NXA,OCC,8.9,1,0.042591923978973455,209.0,PosOnly
2025-W12,NXA,ATC,19.8,1,0.09468506019521625,209.0,PosOnly
2025-W12,NXA,Weather,10.4,1,0.04999282483031914,209.0,PosOnly
2025-W12,NXA,Other,8.7,1,0.04182180295313076,209.0,PosOnly
2025-W13,NXA,Late Arrival,335.2,22,0.4835904380385746,693.1,PosOnly
2025-W13,NXA,Ground Ops,154.3,10,0.22259586545390558,693.1,PosOnly
2025-W13,NXA,Engineering,33.9,2,0.048958243799876136,693.1,PosOnly
2025-W13,NXA,OCC,34.4,2,0.04963421973009978,693.1,PosOnly
2025-W13,NXA,ATC,69.7,4,0.10049775072976438,693.1,PosOnly
2025-W13,NXA,Weather,32.5,2,0.04684758626390262,693.1,PosOnly
2025-W13,NXA,Other,33.2,2,0.04787589598387687,693.1,PosOnly
2025-W14,NXA,Late Arrival,207.4,13,0.4605317808090232,450.3,PosOnly
2025-W14,NXA,Ground Ops,108.3,7,0.24040681654301635,450.3,PosOnly
2025-W14,NXA,Engineering,28.7,1,0.06377610254072356,450.3,PosOnly
2025-W14,NXA,OCC,43.2,2,0.09587769615256855,450.3,PosOnly
2025-W14,NXA,ATC,36.7,2,0.08142122060016446,450.3,PosOnly
2025-W14,NXA,Weather,19.9,1,0.04414616114915593,450.3,PosOnly
2025-W14,NXA,Other,6.2,1,0.013840222205347918,450.3,PosOnly
2025-W15,NXA,Late Arrival,613.9,40,0.466914723611736,1314.7,PosOnly
2025-W15,NXA,Ground Ops,286.0,19,0.21753148678588632,1314.7,PosOnly
2025-W15,NXA,Engineering,91.8,6,0.06979727625035909,1314.7,PosOnly
2025-W15,NXA,OCC,98.5,6,0.07493744053859165,1314.7,PosOnly
2025-W15,NXA,ATC,127.6,8,0.0970763615129203,1314.7,PosOnly
2025-W15,NXA,Weather,75.9,5,0.05770586148298379,1314.7,PosOnly
2025-W15,NXA,Other,21.1,1,0.016036849817522847,1314.7,PosOnly
2025-W16,NXA,Late Arrival,74.8,4,0.5041056171694699,148.3,PosOnly
2025-W16,NXA,Ground Ops,32.0,2,0.21593273335183905,148.3,PosOnly
2025-W16,NXA,Engineering,8.9,1,0.060275964343531926,148.3,PosOnly
2025-W16,NXA,OCC,8.7,1,0.05833953611620054,148.3,PosOnly
2025-W16,NXA,ATC,15.7,1,0.10566474625371758,148.3,PosOnly
2025-W16,NXA,Weather,7.1,1,0.04762790451262472,148.3,PosOnly
2025-W16,NXA,Other,1.2,1,0.008053498252616365,148.3,PosOnly
2025-W17,NXA,Late Arrival,578.4,38,0.4722879382479922,1224.6,PosOnly
2025-W17,NXA,Ground Ops,246.0,16,0.20084608166957071,1224.6,PosOnly
2025-W17,NXA,Engineering,63.6,4,0.051943514714921396,1224.6,PosOnly
2025-W17,NXA,OCC,73.9,4,0.06034614508692464,1224.6,PosOnly
2025-W17,NXA,ATC,127.3,8,0.10397640566724473,1224.6,PosOnly
2025-W17,NXA,Weather,71.1,4,0.05802201756587928,1224.6,PosOnly
2025-W17,NXA,Other,64.4,4,0.05257789704746696,1224.6,PosOnly
2025-W18,NXA,Late Arrival,634.0,42,0.4742535058785027,1336.8,PosOnly
2025-W18,NXA,Ground Ops,330.9,22,0.2475589615801512,1336.8,PosOnly
2025-W18,NXA,Engineering,92.2,6,0.06898527805734257,1336.8,PosOnly
2025-W18,NXA,OCC,70.2,4,0.05250107128980121,1336.8,PosOnly
2025-W18,NXA,ATC,107.7,7,0.0805710244345246,1336.8,PosOnly
2025-W18,NXA,Weather,60.1,4,0.044964632727453255,1336.8,PosOnly
2025-W18,NXA,Other,41.7,2,0.031165526032224555,1336.8,PosOnly
2025-W19,NXA,Late Arrival,261.8,17,0.4588218439222639,570.6,PosOnly
2025-W19,NXA,Ground Ops,117.2,7,0.20546819000383312,570.6,PosOnly
2025-W19,NXA,Engineering,36.0,2,0.06302026926444927,570.6,PosOnly
2025-W19,NXA,OCC,27.0,1,0.04726219069691746,570.6,PosOnly
2025-W19,NXA,ATC,48.1,3,0.08431155984366602,570.6,PosOnly
2025-W19,NXA,Weather,34.7,2,0.06079286280789105,570.6,PosOnly
2025-W19,NXA,Other,45.8,3,0.08032308346097916,570.6,PosOnly
2025-W20,NXA,Late Arrival,328.2,21,0.5195159207351354,631.7,PosOnly
2025-W20,NXA,Ground Ops,143.7,9,0.22748722275397748,631.7,PosOnly
2025-W20,NXA,Engineering,36.9,2,0.05845900778662229,631.7,PosOnly
2025-W20,NXA,OCC,28.2,1,0.04468552647108108,631.7,PosOnly
2025-W20,NXA,ATC,61.6,4,0.09753916502402496,631.7,PosOnly
2025-W20,NXA,Weather,27.7,1,0.0438072992655554,631.7,PosOnly
2025-W20,NXA,Other,5.4,1,0.008505857963603425,631.7,PosOnly
2025-W21,NXA,Late Arrival,170.6,11,0.49161973262236053,347.1,PosOnly
2025-W21,NXA,Ground Ops,72.2,4,0.2080377122475822,347.1,PosOnly
2025-W21,NXA,Engineering,21.6,1,0.062148896006036944,347.1,PosOnly
2025-W21,NXA,OCC,26.2,1,0.07549661293919606,347.1,PosOnly
2025-W21,NXA,ATC,30.8,2,0.08884265579608289,347.1,PosOnly
2025-W21,NXA,Weather,20.8,1,0.059908631399810564,347.1,PosOnly
2025-W21,NXA,Other,4.8,1,0.013945758988930856,347.1,PosOnly
2025-W22,NXA,Late Arrival,484.3,32,0.467756515459328,1035.3,PosOnly
2025-W22,NXA,Ground Ops,227.2,15,0.2194589685773525,1035.3,PosOnly
2025-W22,NXA,Engineering,63.4,4,0.06122341999777516,1035.3,PosOnly
2025-W22,NXA,OCC,49.7,3,0.04796605725102588,1035.3,PosOnly
2025-W22,NXA,ATC,101.8,6,0.09832310399706255,1035.3,PosOnly
2025-W22,NXA,Weather,58.6,3,0.05660622520268835,1035.3,PosOnly
2025-W22,NXA,Other,50.4,3,0.04866570951476762,1035.3,PosOnly
2025-W23,NXA,Late Arrival,490.0,32,0.48602081363198707,1008.1,PosOnly
2025-W23,NXA,Ground Ops,215.5,14,0.21381540527502038,1008.1,PosOnly
2025-W23,NXA,Engineering,52.0,3,0.05162018045267887,1008.1,PosOnly
2025-W23,NXA,OCC,68.8,4,0.06823590652251138,1008.1,PosOnly
2025-W23,NXA,ATC,81.0,5,0.08037409633823639,1008.1,PosOnly
2025-W23,NXA,Weather,64.4,4,0.06388085668931134,1008.1,PosOnly
2025-W23,NXA,Other,36.3,2,0.03605274109025441,1008.1,PosOnly
2025-W24,NXA,Late Arrival,305.2,20,0.46045619094577056,662.9,PosOnly
2025-W24,NXA,Ground Ops,143.7,9,0.21676581763943814,662.9,PosOnly
2025-W24,NXA,Engineering,41.0,2,0.06182507048478913,662.9,PosOnly
2025-W24,NXA,OCC,24.8,1,0.03744112718512812,662.9,PosOnly
2025-W24,NXA,ATC,72.2,4,0.10884648888623097,662.9,PosOnly
2025-W24,NXA,Weather,30.1,2,0.04535325285465493,662.9,PosOnly
2025-W24,NXA,Other,45.9,3,0.0693120520039881,662.9,PosOnly
2025-W25,NXA,Late Arrival,309.6,20,0.47653368865261136,649.6,PosOnly
2025-W25,NXA,Ground Ops,151.7,10,0.23359364957363316,649.6,PosOnly
2025-W25,NXA,Engineering,39.9,2,0.06147123478887409,649.6,PosOnly
2025-W25,NXA,OCC,32.0,2,0.04931816536173586,649.6,PosOnly
2025-W25,NXA,ATC,62.0,4,0.09551058460548288,649.6,PosOnly
2025-W25,NXA,Weather,40.4,2,0.06225149231559205,649.6,PosOnly
2025-W25,NXA,Other,13.9,1,0.021321184702070617,649.6,PosOnly
2025-W26,NXA,Late Arrival,389.6,25,0.5058668205072835,770.2,PosOnly
2025-W26,NXA,Ground Ops,159.9,10,0.2075694693429741,770.2,PosOnly
2025-W26,NXA,Engineering,52.8,3,0.06856602475161581,770.2,PosOnly
2025-W26,NXA,OCC,52.7,3,0.06848453147926499,770.2,PosOnly
2025-W26,NXA,ATC,63.9,4,0.0829958743148219,770.2,PosOnly
2025-W26,NXA,Weather,35.5,2,0.046131921012442886,770.2,PosOnly
2025-W26,NXA,Other,15.7,1,0.02038535859159696,770.2,PosOnly
2025-W27,NXA,Late Arrival,592.8,39,0.47233927420197663,1255.0,PosOnly
2025-W27,NXA,Ground Ops,271.3,18,0.21614185313379092,1255.0,PosOnly
2025-W27,NXA,Engineering,80.8,5,0.06442211779872359,1255.0,PosOnly
2025-W27,NXA,OCC,58.8,3,0.04683564678646684,1255.0,PosOnly
2025-W27,NXA,ATC,123.3,8,0.09826223386694741,1255.0,PosOnly
2025-W27,NXA,Weather,72.1,4,0.057429681212441526,1255.0,PosOnly
2025-W27,NXA,Other,55.9,3,0.04456919299965306,1255.0,PosOnly
2025-W28,NXA,Late Arrival,317.6,21,0.4775874887815183,665.0,PosOnly
2025-W28,NXA,Ground Ops,152.0,10,0.22863166761187265,665.0,PosOnly
2025-W28,NXA,Engineering,47.4,3,0.0713162069198193,665.0,PosOnly
2025-W28,NXA,OCC,40.4,2,0.06069960539688681,665.0,PosOnly
2025-W28,NXA,ATC,55.8,3,0.0839332607907866,665.0,PosOnly
2025-W28,NXA,Weather,29.8,1,0.04488614501663665,665.0,PosOnly
2025-W28,NXA,Other,21.9,1,0.032945625482479646,665.0,PosOnly
2025-W29,NXA,Late Arrival,794.8,52,0.46946793498100414,1692.9,PosOnly
2025-W29,NXA,Ground Ops,382.2,25,0.22575750527524382,1692.9,PosOnly
2025-W29,NXA,Engineering,96.3,6,0.05687968537370438,1692.9,PosOnly
2025-W29,NXA,OCC,112.4,7,0.06637790500161529,1692.9,PosOnly
2025-W29,NXA,ATC,145.7,9,0.08606264304936434,1692.9,PosOnly
2025-W29,NXA,Weather,77.2,5,0.045572984046132615,1692.9,PosOnly
2025-W29,NXA,Other,84.4,5,0.049881342272935336,1692.9,PosOnly
2025-W30,NXA,Late Arrival,412.4,27,0.49567634405268646,831.9,PosOnly
2025-W30,NXA,Ground Ops,165.2,11,0.19855817820218916,831.9,PosOnly
2025-W30,NXA,Engineering,49.4,3,0.0593772342488444,831.9,PosOnly
2025-W30,NXA,OCC,47.8,3,0.057497960999349854,831.9,PosOnly
2025-W30,NXA,ATC,78.9,5,0.09486519669885855,831.9,PosOnly
2025-W30,NXA,Weather,36.0,2,0.04332076222088849,831.9,PosOnly
2025-W30,NXA,Other,42.2,2,0.050704323577183075,831.9,PosOnly
2025-W31,NXA,Late Arrival,287.7,19,0.5167099392937587,556.8,PosOnly
2025-W31,NXA,Ground Ops,115.2,7,0.20696198341414848,556.8,PosOnly
2025-W31,NXA,Engineering,27.2,1,0.04890635117359652,556.8,PosOnly
2025-W31,NXA,OCC,33.4,2,0.05996440901662807,556.8,PosOnly
2025-W31,NXA,ATC,45.7,3,0.08215466421508653,556.8,PosOnly
2025-W31,NXA,Weather,24.6,1,0.04413380607783415,556.8,PosOnly
2025-W31,NXA,Other,22.9,1,0.0411688468089475,556.8,PosOnly
2025-W32,NXA,Late Arrival,449.2,29,0.46157179263571047,973.2,PosOnly
2025-W32,NXA,Ground Ops,247.4,16,0.25419287021037024,973.2,PosOnly
2025-W32,NXA,Engineering,70.2,4,0.07209981868546732,973.2,PosOnly
2025-W32,NXA,OCC,58.2,3,0.0597706060157192,973.2,PosOnly
2025-W32,NXA,ATC,85.3,5,0.08759766423200593,973.2,PosOnly
2025-W32,NXA,Weather,43.6,2,0.04480936074946775,973.2,PosOnly
2025-W32,NXA,Other,19.4,1,0.019957887471259265,973.2,PosOnly
2025-W33,NXA,Late Arrival,672.3,44,0.5040647091372198,1333.7,PosOnly
2025-W33,NXA,Ground Ops,280.0,18,0.20991938790869275,1333.7,PosOnly
2025-W33,NXA,Engineering,62.9,4,0.047188343566914495,1333.7,PosOnly
2025-W33,NXA,OCC,63.1,4,0.047294344647321455,1333.7,PosOnly
2025-W33,NXA,ATC,115.0,7,0.08620440582542095,1333.7,PosOnly
2025-W33,NXA,Weather,91.0,6,0.06824616570214298,1333.7,PosOnly
2025-W33,NXA,Other,49.5,3,0.03708264321228749,1333.7,PosOnly
2025-W34,NXA,Late Arrival,344.7,22,0.4789497551916979,719.8,PosOnly
2025-W34,NXA,Ground Ops,174.3,11,0.242131711247158,719.8,PosOnly
2025-W34,NXA,Engineering,49.3,3,0.06846531055454887,719.8,PosOnly
2025-W34,NXA,OCC,30.8,2,0.042811071128456196,719.8,PosOnly
2025-W34,NXA,ATC,67.3,4,0.09349577899832379,719.8,PosOnly
2025-W34,NXA,Weather,34.1,2,0.04735776919069629,719.8,PosOnly
2025-W34,NXA,Other,19.3,1,0.02678860368911895,719.8,PosOnly
2025-W35,NXA,Late Arrival,458.2,30,0.4612877843996347,993.4,PosOnly
2025-W35,NXA,Ground Ops,223.9,14,0.22535769348396226,993.4,PosOnly
2025-W35,NXA,Engineering,59.9,3,0.06034644067717689,993.4,PosOnly
2025-W35,NXA,OCC,59.7,3,0.060060512787628986,993.4,PosOnly
2025-W35,NXA,ATC,107.5,7,0.10820057032422545,993.4,PosOnly
2025-W35,NXA,Weather,66.2,4,0.0666396648581674,993.4,PosOnly
2025-W35,NXA,Other,18.0,1,0.01810733346920429,993.4,PosOnly
2025-W36,NXA,Late Arrival,221.0,14,0.48041941592883836,460.1,PosOnly
2025-W36,NXA,Ground Ops,114.1,7,0.2480741415778925,460.1,PosOnly
2025-W36,NXA,Engineering,34.8,2,0.07564666872503542,460.1,PosOnly
2025-W36,NXA,OCC,27.1,1,0.05898971789228742,460.1,PosOnly
2025-W36,NXA,ATC,38.6,2,0.08395264498676203,460.1,PosOnly
2025-W36,NXA,Weather,20.1,1,0.04376991558605608,460.1,PosOnly
2025-W36,NXA,Other,4.2,1,0.009147495303128195,460.1,PosOnly
2025-W37,NXA,Late Arrival,117.6,7,0.4677229224288621,251.5,PosOnly
2025-W37,NXA,Ground Ops,62.7,4,0.2492316777031864,251.5,PosOnly
2025-W37,NXA,Engineering,17.9,1,0.07112674236352302,251.5,PosOnly
2025-W37,NXA,OCC,18.6,1,0.07389986829309593,251.5,PosOnly
2025-W37,NXA,ATC,20.3,1,0.08090163736283537,251.5,PosOnly
2025-W37,NXA,Weather,11.0,1,0.043568599322206344,251.5,PosOnly
2025-W37,NXA,Other,3.4,1,0.013548552526290836,251.5,PosOnly
2025-W38,NXA,Late Arrival,154.8,10,0.4872320263942248,317.8,PosOnly
2025-W38,NXA,Ground Ops,73.5,4,0.23120716591505677,317.8,PosOnly
2025-W38,NXA,Engineering,18.9,1,0.05948144843597739,317.8,PosOnly
2025-W38,NXA,OCC,16.6,1,0.05226656554387187,317.8,PosOnly
2025-W38,NXA,ATC,27.2,1,0.08561716833846025,317.8,PosOnly
2025-W38,NXA,Weather,22.1,1,0.0696581169555873,317.8,PosOnly
2025-W38,NXA,Other,4.6,1,0.01453750841682161,317.8,PosOnly
2025-W39,NXA,Late Arrival,221.9,14,0.45350746827878535,489.4,PosOnly
2025-W39,NXA,Ground Ops,117.1,7,0.23926083728152656,489.4,PosOnly
2025-W39,NXA,Engineering,32.9,2,0.0672263428379722,489.4,PosOnly
2025-W39,NXA,OCC,23.5,1,0.0479292887058615,489.4,PosOnly
2025-W39,NXA,ATC,44.2,2,0.09027211030431886,489.4,PosOnly
2025-W39,NXA,Weather,31.2,2,0.06383371091487654,489.4,PosOnly
2025-W39,NXA,Other,18.6,1,0.03797024167665897,489.4,PosOnly
2025-W40,NXA,Late Arrival,222.6,14,0.48065927220442617,463.2,PosOnly
2025-W40,NXA,Ground Ops,109.0,7,0.23528427693973633,463.2,PosOnly
2025-W40,NXA,Engineering,26.6,1,0.057352904720426215,463.2,PosOnly
2025-W40,NXA,OCC,38.0,2,0.08196584071340075,463.2,PosOnly
2025-W40,NXA,ATC,45.9,3,0.09917040947792495,463.2,PosOnly
2025-W40,NXA,Weather,18.6,1,0.04006926317760227,463.2,PosOnly
2025-W40,NXA,Other,2.5,1,0.005498032766483419,463.2,PosOnly
2025-W41,NXA,Late Arrival,330.4,22,0.49425979691211475,668.5,PosOnly
2025-W41,NXA,Ground Ops,140.8,9,0.21065060640525282,668.5,PosOnly
2025-W41,NXA,Engineering,36.2,2,0.05419738097068945,668.5,PosOnly
2025-W41,NXA,OCC,32.3,2,0.04833215705153955,668.5,PosOnly
2025-W41,NXA,ATC,61.4,4,0.091787821747107,668.5,PosOnly
2025-W41,NXA,Weather,45.2,3,0.06765557350464986,668.5,PosOnly
2025-W41,NXA,Other,22.1,1,0.03311666340864655,668.5,PosOnly
2025-W42,NXA,Late Arrival,234.3,15,0.4830948780931299,485.0,PosOnly
2025-W42,NXA,Ground Ops,100.2,6,0.2066303028069401,485.0,PosOnly
2025-W42,NXA,Engineering,28.9,1,0.059500637438321284,485.0,PosOnly
2025-W42,NXA,OCC,21.0,1,0.04328414274582321,485.0,PosOnly
2025-W42,NXA,ATC,52.6,3,0.10850183283873312,485.0,PosOnly
2025-W42,NXA,Weather,24.4,1,0.05028140928264868,485.0,PosOnly
2025-W42,NXA,Other,23.6,1,0.04870679679440365,485.0,PosOnly
2025-W43,NXA,Late Arrival,411.4,27,0.5024733033246008,818.8,PosOnly
2025-W43,NXA,Ground Ops,164.0,10,0.20023466321756522,818.8,PosOnly
2025-W43,NXA,Engineering,51.3,3,0.06270812648982654,818.8,PosOnly
2025-W43,NXA,OCC,44.8,2,0.05476492897731055,818.8,PosOnly
2025-W43,NXA,ATC,89.9,5,0.10975423149492887,818.8,PosOnly
2025-W43,NXA,Weather,45.8,3,0.05594241434791732,818.8,PosOnly
2025-W43,NXA,Other,11.6,1,0.014122332147850749,818.8,PosOnly
2025-W44,NXA,Late Arrival,128.6,8,0.4782198142883358,269.0,PosOnly
2025-W44,NXA,Ground Ops,61.3,4,0.22771780831058788,269.0,PosOnly
2025-W44,NXA,Engineering,15.2,1,0.056364991696400295,269.0,PosOnly
2025-W44,NXA,OCC,12.3,1,0.045604419079033356,269.0,PosOnly
2025-W44,NXA,ATC,26.1,1,0.09685456790189,269.0,PosOnly
2025-W44,NXA,Weather,16.6,1,0.0615934760506464,269.0,PosOnly
2025-W44,NXA,Other,9.1,1,0.03364492267310638,269.0,PosOnly
2025-W45,NXA,Late Arrival,186.9,12,0.4808035075763487,388.8,PosOnly
2025-W45,NXA,Ground Ops,92.8,6,0.23861310484427142,388.8,PosOnly
2025-W45,NXA,Engineering,25.5,1,0.06566117723919612,388.8,PosOnly
2025-W45,NXA,OCC,21.1,1,0.05424494095097695,388.8,PosOnly
2025-W45,NXA,ATC,32.6,2,0.08377421054936855,388.8,PosOnly
2025-W45,NXA,Weather,16.6,1,0.0427517103717702,388.8,PosOnly
2025-W45,NXA,Other,13.3,1,0.03415134846806811,388.8,PosOnly
2025-W46,NXA,Late Arrival,507.3,33,0.4638466893081438,1093.7,PosOnly
2025-W46,NXA,Ground Ops,229.9,15,0.21023173703195167,1093.7,PosOnly
2025-W46,NXA,Engineering,54.0,3,0.0493331029467886,1093.7,PosOnly
2025-W46,NXA,OCC,60.9,4,0.05572684107703471,1093.7,PosOnly
2025-W46,NXA,ATC,113.0,7,0.10334454267632037,1093.7,PosOnly
2025-W46,NXA,Weather,72.0,4,0.0658189120418839,1093.7,PosOnly
2025-W46,NXA,Other,56.5,3,0.05169817491787687,1093.7,PosOnly
2025-W47,NXA,Late Arrival,616.5,41,0.4972315583144495,1239.9,PosOnly
2025-W47,NXA,Ground Ops,269.3,17,0.2171646589998236,1239.9,PosOnly
2025-W47,NXA,Engineering,79.4,5,0.06404901959550813,1239.9,PosOnly
2025-W47,NXA,OCC,53.1,3,0.04284539469100287,1239.9,PosOnly
2025-W47,NXA,ATC,133.1,8,0.10730980730555757,1239.9,PosOnly
2025-W47,NXA,Weather,57.1,3,0.04607567223772558,1239.9,PosOnly
2025-W47,NXA,Other,31.4,2,0.025323888855932786,1239.9,PosOnly
2025-W48,NXA,Late Arrival,155.9,10,0.49378347098397557,315.7,PosOnly
2025-W48,NXA,Ground Ops,66.9,4,0.2118702108681952,315.7,PosOnly
2025-W48,NXA,Engineering,15.1,1,0.04790507744068759,315.7,PosOnly
2025-W48,NXA,OCC,18.0,1,0.05713818337558508,315.7,PosOnly
2025-W48,NXA,ATC,28.3,1,0.0896147348503405,315.7,PosOnly
2025-W48,NXA,Weather,21.9,1,0.06928385172075124,315.7,PosOnly
2025-W48,NXA,Other,9.6,1,0.030404470760464763,315.7,PosOnly
2025-W49,NXA,Late Arrival,321.0,21,0.5155156249605009,622.6,PosOnly
2025-W49,NXA,Ground Ops,126.5,8,0.2032464895843446,622.6,PosOnly
2025-W49,NXA,Engineering,35.4,2,0.05687614783364853,622.6,PosOnly
2025-W49,NXA,OCC,33.0,2,0.053054548225427926,622.6,PosOnly
2025-W49,NXA,ATC,65.8,4,0.10561953128441687,622.6,PosOnly
2025-W49,NXA,Weather,30.9,2,0.049666470214688146,622.6,PosOnly
2025-W49,NXA,Other,10.0,1,0.0160211878969731,622.6,PosOnly
2025-W50,NXA,Late Arrival,458.9,30,0.5146712149648954,891.7,PosOnly
2025-W50,NXA,Ground Ops,183.5,12,0.20580401539958876,891.7,PosOnly
