Period,Station,Flights_Operated,DepDelayMin_Total,OTP_D15_Pct,AvgDepDelayMin_PerFlight,Controllable_Min_NORM_Total,Reactionary_Min_NORM_Total,GOPS_Min_NORM_Total
2025-W49,NXA,62,622.6,86.44,10.041935,195.0,321.0,126.5
2025-W50,NXA,51,891.7,78.7,17.484314,271.3,458.9,183.5
2025-W51,NXA,26,387.5,80.8,14.903846,128.9,182.2,80.1
2025-W52,NXA,57,410.4,87.96,7.2,126.1,194.3,85.4
2025-W01,NXB,27,135.8,92.0,5.02963,51.2,62.6,35.8
2025-W02,NXB,50,790.7,80.35,15.814,242.5,370.8,165.7
2025-W03,NXB,30,287.5,87.39,9.583333,94.2,143.2,61.4
2025-W04,NXB,53,494.9,90.37,9.337736,150.4,233.7,100.4
2025-W05,NXB,44,332.0,92.0,7.545455,116.6,159.1,75.7
2025-W06,NXB,83,1335.9,80.45,16.095181,409.6,610.1,247.9
2025-W07,NXB,25,124.9,91.17,4.996,38.4,61.9,26.3
2025-W08,NXB,54,595.1,87.16,11.02037,191.5,271.7,129.3
2025-W09,NXB,62,627.7,85.9,10.124194,194.3,292.1,118.3
2025-W10,NXB,80,1238.9,80.98,15.48625,422.9,592.1,272.7
2025-W11,NXB,33,255.8,92.0,7.751515,83.0,118.6,55.9
2025-W12,NXB,90,982.0,87.37,10.911111,337.7,490.7,219.0
2025-W13,NXB,41,343.2,90.88,8.370732,114.8,167.9,72.5
2025-W14,NXB,52,328.7,89.5,6.321154,118.1,147.9,72.9
2025-W15,NXB,25,306.4,86.09,12.256,97.7,139.2,65.3
2025-W16,NXB,57,795.4,79.69,13.954386,297.5,381.5,188.0
2025-W17,NXB,38,419.0,84.08,11.026316,145.0,206.5,88.4
2025-W18,NXB,22,338.9,79.96,15.404545,120.6,155.4,78.7
2025-W19,NXB,54,579.1,84.82,10.724074,175.4,299.1,122.4
2025-W20,NXB,21,255.8,86.39,12.180952,79.0,121.9,49.9
2025-W21,NXB,99,655.1,92.0,6.617172,227.5,311.2,157.6
2025-W22,NXB,26,282.5,84.66,10.865385,96.4,136.0,63.2
2025-W23,NXB,98,1325.2,80.06,13.522449,439.5,663.4,296.9
2025-W24,NXB,46,559.4,84.35,12.16087,178.4,277.9,123.5
2025-W25,NXB,99,2070.2,72.0,20.911111,698.4,935.4,451.6
2025-W26,NXB,18,217.1,86.05,12.061111,67.7,103.4,45.9
2025-W27,NXB,35,406.0,86.56,11.6,132.1,188.0,80.6
2025-W28,NXB,62,1046.4,79.93,16.877419,339.5,515.4,207.7
2025-W29,NXB,36,652.0,77.62,18.111111,237.8,294.5,146.6
2025-W30,NXB,87,1265.9,77.93,14.550575,392.2,610.6,242.7
2025-W31,NXB,33,330.9,88.48,10.027273,109.3,171.5,72.5
2025-W32,NXB,26,368.8,81.18,14.184615,117.3,191.6,73.9
2025-W33,NXB,50,432.3,86.56,8.646,150.8,196.3,104.3
2025-W34,NXB,21,291.7,78.97,13.890476,91.0,151.0,63.4
2025-W35,NXB,73,1084.1,82.71,14.850685,354.5,551.8,232.1
2025-W36,NXB,89,725.1,92.0,8.147191,230.8,362.1,146.8
2025-W37,NXB,27,445.8,79.32,16.511111,134.5,214.5,82.8
2025-W38,NXB,25,128.4,92.0,5.136,39.5,62.4,23.9
2025-W39,NXB,95,1351.5,81.32,14.226316,412.6,694.5,280.6
2025-W40,NXB,23,185.3,92.0,8.056522,63.0,87.9,43.7
2025-W41,NXB,45,380.5,87.19,8.455556,124.5,179.8,77.6
2025-W42,NXB,81,1297.6,80.87,16.019753,452.4,601.0,294.5
2025-W43,NXB,40,412.0,86.27,10.3,130.7,197.6,86.8
2025-W44,NXB,100,613.6,92.0,6.136,207.4,314.6,137.9
2025-W45,NXB,92,916.0,88.84,9.956522,305.9,452.7,212.9
2025-W46,NXB,53,656.4,85.23,12.384906,204.5,318.6,138.0
2025-W47,NXB,50,482.8,88.66,9.656,168.3,247.5,103.6
2025-W48,NXB,34,438.3,82.95,12.891176,133.0,224.3,84.5
2025-W49,NXB,84,1282.7,77.41,15.270238,423.8,626.6,287.5
2025-W50,NXB,30,354.5,86.06,11.816667,121.6,165.5,77.7
2025-W51,NXB,93,1366.0,78.24,14.688172,433.7,656.7,293.3
2025-W52,NXB,80,1315.7,79.89,16.44625,406.6,684.1,276.2
2025-W01,NXC,81,2241.7,64.19,27.675309,790.4,1072.7,482.8
2025-W02,NXC,24,574.7,73.52,23.945833,178.8,293.7,112.1
2025-W03,NXC,70,1719.1,68.14,24.558571,687.9,794.0,440.5
2025-W04,NXC,95,1883.6,72.18,19.827368,573.7,954.7,383.1
2025-W05,NXC,52,1387.6,67.31,26.684615,496.3,666.2,336.1
2025-W06,NXC,37,668.6,74.02,18.07027,208.1,327.6,135.7
2025-W07,NXC,81,2033.8,68.74,25.108642,701.4,942.1,481.3
2025-W08,NXC,25,590.6,72.28,23.624,203.8,282.4,137.6
2025-W09,NXC,52,1290.6,66.41,24.819231,442.7,606.9,277.4
2025-W10,NXC,56,1433.1,67.06,25.591071,467.0,685.2,281.8
2025-W11,NXC,83,1763.9,73.39,21.251807,532.1,898.8,365.4
2025-W12,NXC,71,1597.3,71.43,22.497183,493.5,806.1,339.4
2025-W13,NXC,99,2098.0,73.85,21.191919,729.6,961.4,480.3
2025-W14,NXC,79,1739.1,73.44,22.013924,534.0,872.3,362.9
2025-W15,NXC,18,386.9,75.0,21.494444,117.4,191.4,75.3
2025-W16,NXC,77,2022.4,67.41,26.264935,639.2,1048.8,405.1
2025-W17,NXC,42,756.4,73.96,18.009524,228.7,378.1,145.2
2025-W18,NXC,72,2057.3,64.37,28.573611,779.8,933.1,526.1
2025-W19,NXC,42,994.7,70.38,23.683333,354.4,463.7,235.2
2025-W20,NXC,35,807.8,70.38,23.08,273.5,399.7,173.6
2025-W21,NXC,28,640.6,75.0,22.878571,197.4,303.2,120.8
2025-W22,NXC,29,498.6,75.0,17.193103,157.9,253.2,108.7
2025-W23,NXC,54,1379.1,66.32,25.538889,431.0,637.0,269.2
2025-W24,NXC,61,1865.1,60.53,30.57541,631.1,939.2,436.1
2025-W25,NXC,99,3079.9,60.71,31.110101,1041.4,1520.4,695.9
2025-W26,NXC,65,1685.2,63.32,25.926154,596.1,810.4,390.2
2025-W27,NXC,97,2949.3,62.89,30.405155,894.9,1436.3,583.1
2025-W28,NXC,57,1474.8,68.59,25.873684,453.9,710.2,272.4
2025-W29,NXC,48,1143.4,68.64,23.820833,356.2,589.9,236.6
2025-W30,NXC,81,2162.0,67.96,26.691358,656.6,1087.3,412.8
2025-W31,NXC,74,2322.5,62.02,31.385135,709.3,1149.0,463.1
2025-W32,NXC,39,1293.3,61.44,33.161538,400.2,664.0,262.1
2025-W33,NXC,32,872.5,65.6,27.265625,330.3,412.8,212.9
2025-W34,NXC,59,1402.3,66.34,23.767797,428.4,648.4,259.4
2025-W35,NXC,84,2040.0,69.41,24.285714,735.5,981.2,442.1
2025-W36,NXC,19,365.9,74.85,19.257895,125.0,169.8,86.9
2025-W37,NXC,64,1434.2,69.73,22.409375,432.6,650.0,278.6
2025-W38,NXC,42,1036.7,71.32,24.683333,347.2,518.2,216.8
2025-W39,NXC,89,2018.1,69.46,22.675281,668.2,1024.6,402.1
2025-W40,NXC,36,678.1,75.0,18.836111,203.7,351.2,123.8
2025-W41,NXC,23,517.3,71.38,22.491304,189.1,238.3,129.5
2025-W42,NXC,68,1643.7,70.12,24.172059,513.8,824.0,332.1
2025-W43,NXC,61,1655.1,66.58,27.132787,557.2,843.5,348.7
2025-W44,NXC,78,1354.7,75.0,17.367949,448.6,673.5,303.0
2025-W45,NXC,60,1303.3,74.15,21.721667,397.9,627.2,273.9
2025-W46,NXC,45,1164.1,65.7,25.868889,405.1,527.7,259.9
2025-W47,NXC,40,1108.9,64.38,27.7225,353.5,549.6,228.3
2025-W48,NXC,41,841.4,73.72,20.521951,272.0,413.6,174.6
2025-W49,NXC,26,622.3,71.2,23.934615,222.8,292.4,155.5
2025-W50,NXC,82,2215.7,62.6,27.020732,742.8,1150.2,469.7
2025-W51,NXC,30,801.3,65.04,26.71,270.5,375.5,187.4
2025-W52,NXC,99,2419.4,70.36,24.438384,782.0,1164.6,510.7
2025-W01,NXD,36,387.9,83.12,10.775,121.4,185.2,81.0
2025-W02,NXD,33,375.8,84.04,11.387879,128.8,188.0,84.6
2025-W03,NXD,21,216.3,83.83,10.3,77.7,104.8,47.7
2025-W04,NXD,92,615.1,92.0,6.68587,189.6,307.4,116.8
2025-W05,NXD,86,1256.9,81.02,14.615116,381.5,566.8,233.0
2025-W06,NXD,62,689.4,82.66,11.119355,230.3,323.7,146.0
2025-W07,NXD,45,667.8,78.43,14.84,205.2,335.9,134.0
2025-W08,NXD,25,198.2,91.16,7.928,63.4,100.9,43.2
2025-W09,NXD,23,394.7,79.6,17.16087,119.1,198.9,80.6
2025-W10,NXD,95,987.4,88.24,10.393684,300.3,451.1,193.6
2025-W11,NXD,98,1240.1,85.23,12.654082,399.1,581.5,259.5
2025-W12,NXD,50,660.0,82.38,13.2,221.7,304.0,151.3
2025-W13,NXD,73,628.2,91.34,8.605479,193.4,319.5,131.9
2025-W14,NXD,98,1453.7,82.48,14.833673,442.8,665.9,292.2
2025-W15,NXD,19,173.0,86.71,9.105263,59.2,85.9,36.6
2025-W16,NXD,23,230.5,87.99,10.021739,89.0,110.9,57.5
2025-W17,NXD,39,179.8,92.0,4.610256,57.4,82.3,36.5
2025-W18,NXD,58,580.4,85.07,10.006897,175.4,297.7,105.9
2025-W19,NXD,26,174.0,89.14,6.692308,52.4,89.9,33.1
2025-W20,NXD,46,411.8,87.13,8.952174,139.8,187.1,86.6
2025-W21,NXD,43,471.7,84.6,10.969767,156.2,229.9,108.8
2025-W22,NXD,70,520.4,92.0,7.434286,200.8,236.3,129.7
2025-W23,NXD,54,1072.8,73.15,19.866667,341.2,537.1,230.4
2025-W24,NXD,64,570.4,88.63,8.9125,186.6,265.3,115.5
2025-W25,NXD,76,1409.1,77.1,18.540789,500.5,709.5,335.7
2025-W26,NXD,76,1100.0,78.03,14.473684,388.2,551.1,269.8
2025-W27,NXD,35,483.9,80.52,13.825714,170.2,235.4,119.1
2025-W28,NXD,57,823.1,79.82,14.440351,278.3,387.0,192.5
2025-W29,NXD,97,1315.9,80.53,13.565979,427.8,683.0,278.0
2025-W30,NXD,23,357.5,77.1,15.543478,113.6,171.6,74.6
2025-W31,NXD,44,863.4,72.26,19.622727,292.5,432.3,178.1
2025-W32,NXD,32,627.2,72.0,19.6,203.5,306.3,132.3
2025-W33,NXD,51,464.7,87.91,9.111765,142.2,237.9,91.2
2025-W34,NXD,30,404.3,81.02,13.476667,126.5,190.6,86.9
2025-W35,NXD,65,787.7,82.4,12.118462,304.0,362.8,212.4
2025-W36,NXD,29,158.7,90.72,5.472414,47.7,78.0,31.5
2025-W37,NXD,98,1226.6,81.22,12.516327,409.1,599.6,281.9
2025-W38,NXD,39,527.9,82.2,13.535897,182.2,248.5,127.1
2025-W39,NXD,34,299.4,86.28,8.805882,115.1,139.7,70.5
2025-W40,NXD,62,332.3,91.01,5.359677,108.5,170.5,71.9
2025-W41,NXD,22,173.6,90.21,7.890909,57.5,82.0,38.3
2025-W42,NXD,86,780.5,90.85,9.075581,268.5,360.0,176.5
2025-W43,NXD,58,553.6,87.91,9.544828,182.8,274.6,121.1
2025-W44,NXD,51,373.6,88.31,7.32549,128.3,175.3,78.1
2025-W45,NXD,33,286.0,90.48,8.666667,92.9,140.6,63.8
2025-W46,NXD,36,340.2,86.84,9.45,116.2,154.3,80.7
2025-W47,NXD,99,1425.5,79.8,14.39899,465.7,722.9,284.6
2025-W48,NXD,37,217.1,92.0,5.867568,72.8,98.5,47.7
2025-W49,NXD,79,1101.8,82.34,13.946835,332.0,569.1,230.4
2025-W50,NXD,86,1238.7,80.48,14.403488,397.3,593.8,271.6
2025-W51,NXD,19,223.8,82.47,11.778947,78.5,109.5,48.3
2025-W52,NXD,36,399.1,86.03,11.086111,120.0,196.9,83.5
2025-W01,NXE,32,312.7,84.41,9.771875,100.3,151.9,62.7
2025-W02,NXE,82,1117.4,84.38,13.626829,392.6,516.4,255.2
2025-W03,NXE,80,1089.6,82.85,13.62,330.3,492.2,218.6
2025-W04,NXE,96,697.6,90.69,7.266667,214.1,343.4,142.5
2025-W05,NXE,49,515.4,87.48,10.518367,166.2,261.8,114.0
2025-W06,NXE,19,82.9,92.0,4.363158,24.9,42.2,16.0
2025-W07,NXE,34,354.6,85.67,10.429412,107.5,178.6,67.7
2025-W08,NXE,31,461.3,79.51,14.880645,144.0,238.0,93.0
2025-W09,NXE,58,871.9,80.45,15.032759,322.0,406.5,219.6
2025-W10,NXE,20,119.3,91.14,5.965,41.5,57.8,28.7
2025-W11,NXE,93,1420.3,81.88,15.272043,453.1,695.9,284.9
2025-W12,NXE,97,1485.8,79.4,15.317526,463.8,760.9,299.8
2025-W13,NXE,38,561.6,81.37,14.778947,173.2,282.6,119.2
2025-W14,NXE,86,621.1,91.58,7.222093,198.1,316.3,133.6
2025-W15,NXE,93,1095.0,84.71,11.774194,365.7,500.9,233.8
2025-W16,NXE,94,1085.3,86.36,11.545745,347.4,556.4,229.8
2025-W17,NXE,41,446.6,86.02,10.892683,151.0,216.6,95.8
2025-W18,NXE,51,248.6,92.0,4.87451,77.8,122.0,51.9
2025-W19,NXE,58,335.5,92.0,5.784483,101.1,171.5,68.9
2025-W20,NXE,60,780.5,84.69,13.008333,265.3,388.9,178.0
2025-W21,NXE,60,732.4,81.91,12.206667,227.7,362.5,139.8
2025-W22,NXE,92,1249.5,81.85,13.581522,399.5,648.9,272.0
2025-W23,NXE,73,1491.9,73.89,20.436986,447.9,685.6,282.1
2025-W24,NXE,52,819.2,78.59,15.753846,281.2,379.0,171.3
2025-W25,NXE,62,745.7,85.56,12.027419,225.9,346.3,140.6
2025-W26,NXE,32,343.4,87.91,10.73125,108.1,173.7,70.6
2025-W27,NXE,80,1375.1,74.45,17.18875,441.7,709.7,308.8
2025-W28,NXE,94,957.4,84.04,10.185106,307.9,481.4,192.8
2025-W29,NXE,57,1094.3,73.21,19.198246,368.7,509.0,255.7
2025-W30,NXE,27,274.4,87.91,10.162963,84.6,142.5,53.7
2025-W31,NXE,80,533.2,89.0,6.665,172.6,262.2,116.2
2025-W32,NXE,81,1523.9,76.64,18.81358,520.5,759.7,327.0
2025-W33,NXE,39,369.1,88.55,9.464103,127.9,167.5,82.7
2025-W34,NXE,54,555.3,84.87,10.283333,187.4,267.4,124.5
2025-W35,NXE,59,941.0,80.14,15.949153,296.9,452.0,195.6
2025-W36,NXE,40,665.0,79.09,16.625,239.8,316.8,151.6
2025-W37,NXE,40,319.1,89.23,7.9775,103.5,160.3,65.4
2025-W38,NXE,95,927.0,85.05,9.757895,279.8,443.8,185.3
2025-W39,NXE,19,223.4,82.24,11.757895,77.6,103.9,46.6
2025-W40,NXE,19,292.5,79.59,15.394737,88.3,138.4,61.3
2025-W41,NXE,76,1251.8,80.49,16.471053,379.3,617.4,264.5
2025-W42,NXE,28,235.0,88.59,8.392857,85.9,112.1,54.8
2025-W43,NXE,42,727.7,78.98,17.32619,241.5,356.4,161.1
2025-W44,NXE,98,1315.1,80.63,13.419388,450.9,670.4,270.9
2025-W45,NXE,28,447.0,79.02,15.964286,149.2,222.6,98.4
2025-W46,NXE,73,801.2,87.57,10.975342,244.1,397.9,152.4
2025-W47,NXE,30,446.3,81.78,14.876667,147.2,206.1,100.1
2025-W48,NXE,99,482.6,92.0,4.874747,154.5,243.4,97.9
2025-W49,NXE,61,1220.4,74.56,20.006557,377.5,632.0,247.0
2025-W50,NXE,18,290.5,76.52,16.138889,105.7,140.3,68.8
2025-W51,NXE,34,479.1,83.21,14.091176,164.3,236.2,99.7
2025-W52,NXE,72,1346.3,72.84,18.698611,418.0,663.4,273.8
2025-W01,NXF,22,157.6,89.14,7.163636,50.0,81.7,31.2
2025-W02,NXF,57,935.0,79.44,16.403509,335.3,459.4,211.0
2025-W03,NXF,58,400.7,89.87,6.908621,126.0,200.2,78.5
2025-W04,NXF,81,579.2,90.62,7.150617,184.8,283.8,126.8
2025-W05,NXF,71,350.0,91.43,4.929577,122.5,163.7,81.1
2025-W06,NXF,49,716.7,81.13,14.626531,230.3,341.6,155.5
2025-W07,NXF,32,324.8,88.92,10.15,113.9,151.8,77.2
2025-W08,NXF,56,601.7,86.42,10.744643,216.4,277.2,139.4
2025-W09,NXF,31,358.0,84.36,11.548387,118.5,171.4,71.3
2025-W10,NXF,91,659.7,91.87,7.249451,208.7,337.0,137.9
2025-W11,NXF,37,576.6,79.94,15.583784,177.5,291.0,114.5
2025-W12,NXF,36,279.3,92.0,7.758333,84.6,143.6,51.2
2025-W13,NXF,44,522.1,82.38,11.865909,166.0,269.8,110.3
2025-W14,NXF,50,643.4,83.64,12.868,205.3,297.9,137.8
2025-W15,NXF,18,130.3,88.75,7.238889,40.4,64.8,25.6
2025-W16,NXF,55,524.8,85.72,9.541818,190.5,243.3,132.3
2025-W17,NXF,37,492.4,79.67,13.308108,148.5,246.4,100.6
2025-W18,NXF,92,1041.4,83.16,11.319565,331.4,541.2,223.2
2025-W19,NXF,30,362.8,81.12,12.093333,113.5,178.5,71.9
2025-W20,NXF,89,1540.4,78.97,17.307865,471.9,726.8,316.9
2025-W21,NXF,23,320.1,79.64,13.917391,111.5,145.8,74.8
2025-W22,NXF,75,465.1,89.53,6.201333,152.1,237.5,105.5
2025-W23,NXF,85,1324.4,76.72,15.581176,414.1,663.4,256.5
2025-W24,NXF,58,873.1,80.61,15.053448,272.5,416.6,188.9
2025-W25,NXF,43,498.1,86.99,11.583721,154.5,238.7,94.2
2025-W26,NXF,94,1247.8,82.76,13.274468,375.7,574.3,235.9
2025-W27,NXF,87,1066.1,84.76,12.254023,334.5,490.1,222.4
2025-W28,NXF,40,569.5,81.02,14.2375,230.1,260.3,144.6
2025-W29,NXF,77,887.3,87.02,11.523377,291.9,417.9,198.6
2025-W30,NXF,44,723.6,78.15,16.445455,269.6,339.3,164.5
2025-W31,NXF,40,788.3,74.41,19.7075,253.7,358.7,157.0
2025-W32,NXF,64,628.2,89.62,9.815625,207.4,308.8,141.4
2025-W33,NXF,52,843.3,79.08,16.217308,270.9,381.5,179.9
2025-W34,NXF,62,871.7,80.8,14.059677,287.8,413.8,186.7
2025-W35,NXF,48,605.9,80.53,12.622917,207.1,312.6,139.1
2025-W36,NXF,80,1094.8,79.05,13.685,382.7,538.6,250.5
2025-W37,NXF,54,891.4,79.09,16.507407,268.6,407.5,172.8
2025-W38,NXF,42,291.8,91.62,6.947619,91.7,148.6,57.1
2025-W39,NXF,58,869.4,78.45,14.989655,316.9,413.5,199.4
2025-W40,NXF,40,538.6,83.78,13.465,196.2,248.3,133.4
2025-W41,NXF,91,879.5,84.68,9.664835,310.0,402.9,197.0
2025-W42,NXF,82,915.9,86.17,11.169512,306.1,454.9,201.9
2025-W43,NXF,75,632.6,89.8,8.434667,191.5,290.7,131.3
2025-W44,NXF,45,442.3,86.62,9.828889,167.8,199.3,105.5
2025-W45,NXF,58,483.4,87.47,8.334483,151.9,240.7,95.2
2025-W46,NXF,94,910.4,89.88,9.685106,278.1,411.5,169.9
2025-W47,NXF,57,959.6,79.17,16.835088,315.0,467.0,205.3
2025-W48,NXF,71,607.1,86.6,8.550704,184.1,301.2,116.0
2025-W49,NXF,54,602.4,87.15,11.155556,189.1,307.4,116.4
2025-W50,NXF,69,1542.6,72.0,22.356522,514.2,782.9,321.3
2025-W51,NXF,30,424.6,78.3,14.153333,128.6,208.8,81.8
2025-W52,NXF,64,1157.2,77.01,18.08125,383.8,547.3,230.3
